电影名称,上映时间,评分,评论人数,演员,类型,国家,电影ID
恐怖游轮,2009-10-16,8.5,923787,"梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼","剧情,悬疑,惊悚","英国,澳大利亚",3011051
源代码,2011-08-30,8.5,876514,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉","科幻,悬疑,惊悚","美国,加拿大",3075287
神探,2008-02-22,8.5,324502,"刘青云,安志杰,林家栋","动作,犯罪,悬疑,惊悚",中国香港,2027938
网络谜踪,2018-12-14,8.5,542499,"约翰·赵,米切尔·拉,黛博拉·梅辛","剧情,犯罪,悬疑,惊悚","美国,俄罗斯",27615441
变脸,1997-06-27,8.5,391550,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪,惊悚",美国,1292659
精英部队2：大敌当前,2011-11-25,8.7,88858,"瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹","剧情,动作,犯罪,惊悚",巴西,4304402
花火,1997-09-03,8.6,129811,"北野武,岸本加世子,大杉涟","剧情,爱情,犯罪,惊悚",日本,1302642
风声,2009-09-29,8.4,628995,"周迅,李冰冰,张涵予","犯罪,剧情,惊悚,战争",中国大陆,3734112
钢铁侠,2008-04-30,8.4,626025,"小罗伯特·唐尼,格温妮斯·帕特洛,泰伦斯·霍华德","动作,冒险,科幻,惊悚",美国,1432146
喋血双雄,1989-07-06,8.5,90104,"周润发,李修贤,叶倩文","动作,犯罪,剧情,惊悚",中国香港,1296519
穆赫兰道,2001-05-16,8.4,464605,"娜奥米·沃茨,劳拉·哈灵,安·米勒","剧情,悬疑,惊悚","法国,美国",1292217
碟中谍4,2012-01-28,8.4,447922,"汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉","动作,惊悚,冒险",美国,3068206
黑社会,2005-10-20,8.4,216505,"任达华,梁家辉,古天乐","犯罪,剧情,惊悚",中国香港,1309220
老无所依,2007-05-19,8.4,324908,"汤米·李·琼斯,哈维尔·巴登,乔什·布洛林","犯罪,剧情,惊悚",美国,1857099
盗火线,1995-12-15,8.5,133765,"阿尔·帕西诺,罗伯特·德尼罗,方·基默","剧情,动作,犯罪,惊悚",美国,1295686
王牌对王牌,1998-07-29,8.5,131948,"塞缪尔·杰克逊,凯文·史派西,大卫·摩斯","动作,犯罪,剧情,悬疑,惊悚","美国,德国",1293434
追击者,2008-02-14,8.4,249607,"河正宇,金允石,徐英姬","犯罪,剧情,惊悚",韩国,3006309
电锯惊魂2,2005-10-28,8.4,233398,"托宾·贝尔,肖妮·史密斯,唐尼·沃尔伯格","悬疑,惊悚,恐怖","美国,加拿大",1309045
落水狗,1992-01-21,8.4,226759,"哈威·凯特尔,蒂姆·罗斯,迈克尔·马德森","惊悚,犯罪",美国,1299603
孟买酒店,2018-09-07,8.4,219801,"艾米·汉莫,纳赞宁·波妮阿蒂,戴夫·帕特尔","剧情,历史,惊悚","澳大利亚,美国,印度",26794701
罪恶之城,2005-04-01,8.4,203853,"杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文","动作,犯罪,惊悚",美国,1309027
魔鬼代言人,1997-10-17,8.4,175812,"基努·里维斯,阿尔·帕西诺,查理兹·塞隆","剧情,悬疑,惊悚","美国,德国",1298909
换子疑云,2008-10-31,8.4,170004,"安吉丽娜·朱莉,盖特林·格里菲斯,米歇尔·冈","剧情,悬疑,惊悚",美国,2028666
杀死比尔,2003-09-29,8.3,567306,"乌玛·瑟曼,刘玉玲,薇薇卡·福克斯","动作,犯罪,惊悚",美国,1291580
银河护卫队3,2023-05-05,8.3,537830,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","喜剧,动作,科幻,惊悚,冒险",美国,26258779
银翼杀手2049,2017-10-27,8.3,530623,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯","剧情,动作,科幻,悬疑,惊悚","美国,英国,加拿大,西班牙",10512661
狗镇,2003-05-19,8.4,155856,"妮可·基德曼,哈里特·安德森,劳伦·白考尔","剧情,悬疑,惊悚","丹麦,瑞典,挪威,芬兰,英国,法国,德国,荷兰,意大利",1298759
刺杀肯尼迪,1991-12-20,8.8,41721,"凯文·科斯特纳,茜茜·斯派塞克,汤米·李·琼斯","传记,剧情,历史,悬疑,惊悚","美国,法国",1292230
第九区,2009-11-27,8.3,480770,"沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特","动作,剧情,科幻,惊悚","美国,新西兰,加拿大,南非",3006772
苦月亮,1992-09-23,8.4,150978,"彼德·考约特,艾玛纽尔·塞尼耶,休·格兰特","剧情,爱情,惊悚,情色","法国,英国",1301582
危情十日,1990-11-30,8.5,88946,"詹姆斯·肯恩,凯西·贝茨,理查德·法恩斯沃斯","剧情,犯罪,惊悚",美国,1292850
情枭的黎明,1993-11-10,8.7,48602,"阿尔·帕西诺,西恩·潘,佩内洛普·安·米勒","犯罪,剧情,惊悚",美国,1292646
