电影名称,海报地址,评分,评论人数,类型,上映日期,片长,导演,主演,国家/地区,语言,简介
虎口脱险Lagrandevadrouille,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg,8.9,275068,喜剧/战争,1966-12-08(法国),132分钟,热拉尔·乌里,路易·德·菲奈斯/布尔维尔/克劳迪奥·布鲁克/安德丽·帕里西/科莱特·布罗塞/迈克·马歇尔/玛丽·马凯/皮埃尔·贝尔坦/本诺·施特岑巴赫/玛丽·杜布瓦/特里-托马斯/西戈德·拉普/赖因哈德·科尔德霍夫/赫尔穆特·施奈德/保罗·普雷博伊斯特/汉斯·迈尔/居伊·格罗索/米歇尔·莫多/彼得·雅各布/吕迪·勒努瓦/诺埃尔·达扎尔/皮埃尔·鲁塞尔/皮埃尔·巴斯蒂安/雅克·萨布隆/玛格·阿夫里尔/雅克·博杜因/加布里埃尔·戈班/保罗·梅塞/亨利·热内斯,法国/英国,法语/英语/德语,二战期间，英国一架飞机在执行轰炸任务中，被德军击中，几名英国士兵被迫跳伞逃生。他们约好在土耳其浴室见面，并用这次行动的代号“鸳鸯茶”作为接头暗号。 他们分别降落在法国巴黎德军占领区的不同地点。大胡子中队长雷金纳德被动物园管理员所救。而另外两名士兵，也分别在油漆匠奥古斯德 （布尔维尔 饰）和乐队指挥斯塔尼斯拉斯（路易·德·费内斯 饰）的帮助下掩藏好了。即便德军展开了全城的搜索，油漆匠、指挥和中队长还是在浴室顺利地会面，几经辗转，英国士兵终于接上了头。几个原本并不认识的人，就这样结成了生死同盟，与敌人展开了斗智斗勇的生死游戏。同时，也闹出了不少温情的笑话。他们用微薄的力量对抗严酷德军，险相迭生，滑稽搞笑，为了逃出虎口，共同战斗。
"怪兽电力公司Monsters,Inc.",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,8.8,719105,喜剧/动画/儿童/奇幻/冒险,2001-11-02(美国)/2012-12-19(美国),92分钟,彼特·道格特/大卫·西尔弗曼/李·昂克里奇,约翰·古德曼/比利·克里斯托/玛丽·吉布斯/史蒂夫·布西密/詹姆斯·柯本/詹妮弗·提莉/鲍勃·彼德森/约翰·拉森贝格/弗兰克·奥兹/丹尼尔·吉尔森/邦尼·亨特/杰克·安杰尔/塞缪尔·洛德·布莱克/史蒂夫·萨斯坎德,美国,英语,我们不知道，在那样的世界里住着那样一群怪物。他们长相滑稽，却必须装作狰狞。因为，在夜深的时候，他们要悄悄的出现在孩子的衣橱里，吓唬刚刚甜美睡去的宝宝。一切，只因为他们是怪物电力公司的员工，而孩子的尖叫，则是怪物王国发电的全部能量。怪物们害怕孩子，却又必须让孩子尖叫。在怪物的国度里，他们都是为全民造福的英雄。 毛怪苏利文（约翰•古德曼）是怪物公司最出色的员工，业绩总是摇摇领先，他吓哭的小孩儿不计其数。他与搭档大眼怪麦克（比利•克里斯托）很受大家的爱戴。一次偶然，毛怪不小心把一个两岁的小女孩阿布（玛丽•吉布斯）带回了怪物世界，引起了极大的恐慌，调皮可爱的阿布把这些可怕的怪物吓的人仰马翻。警方在追捕阿布，而坏蛋亨利（詹姆斯•柯博）也计划利用阿布进行他改革工厂的邪恶计划。 另一方面，在与阿布相处的过程中，毛怪渐渐对她产生莫名的情愫，甚至因此被放逐野外。可是一...
头脑特工队InsideOut,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.jpg,8.8,707925,喜剧/动画/冒险,2015-10-06(中国大陆)/2015-06-19(美国),95分钟,彼特·道格特/罗纳尔多·德尔·卡门,艾米·波勒/菲利丝·史密斯/理查德·坎德/比尔·哈德尔/刘易斯·布莱克/敏迪·卡灵/凯特林·迪亚斯/戴安·琳恩/凯尔·麦克拉克伦/波拉·庞德斯通/鲍比·莫尼汉/保拉·佩尔/大卫·戈尔兹/弗兰克·奥兹/乔什·库雷/弗利/约翰·拉森贝格/卡洛斯·阿拉斯拉奇/皮特·萨加尔/拉什达·琼斯/罗里·艾伦/约翰·齐甘/雪莉·琳恩/拉瑞恩·纽曼/帕丽斯·冯·戴克,美国,英语,可爱的小女孩莱莉（凯特林·迪亚斯 Kaitlyn Dias 配音）出生在明尼苏达州一个平凡的家庭中，从小她在父母的呵护下长大，脑海中保存着无数美好甜蜜的回忆。当然这些记忆还与几个莱莉未曾谋面的伙伴息息相关，他们就是人类的五种主要情绪：乐乐（艾米·波勒 Amy Poehl er 配音）、忧忧（菲利丝·史密斯 Phyllis Smith 配音）、怕怕（比尔·哈德尔 Bill Hader 配音）、厌厌（敏迪·卡灵 Mindy Kaling 配音）和怒怒（刘易斯·布莱克 Lewis Black 配音）。乐乐作为团队的领导，她协同其他伙伴致力于为小主人营造更多美好的珍贵回忆。某天，莱莉随同父母搬到了旧金山，肮脏逼仄的公寓、陌生的校园环境、逐渐失落的友情都让莱莉无所适从，她的负面情绪逐渐累积，内心美好的世界渐次崩塌。 为了保护这一切，乐乐只有行动起来……
芝加哥Chicago,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454020352.jpg,8.9,171704,喜剧/歌舞/犯罪,2002-12-27(美国),113分钟,罗伯·马歇尔,泰雅·迪格斯/凯瑟琳·泽塔-琼斯/蕾妮·齐薇格/多米尼克·韦斯特/杰恩·伊斯特伍德/约翰·C·赖利/科鲁姆·费奥瑞/奇塔·里维拉/奎恩·拉提法/苏珊·米斯纳尔/Denise Faye/迪德尔·古德温/叶卡捷琳娜切特希尔卡诺娃/玛雅/乔伊皮奇/塞巴斯蒂安·拉·考斯/理查·基尔/克里斯汀·芭伦斯基/布兰登·沃尔/杰里·菲奥里尼/刘玉玲/约瑟夫·斯科伦/莫妮卡·甘德顿/April Morgan/马蒂·莫罗/肖恩·麦卡恩/杰夫·克拉克/Patrick Salvagna/凯瑟琳·泽纳/杰夫·普斯蒂尔/Michelle Johnston/Mary Ann Lamb/Cynthia Onrubia/Karine Plantadit-Bageot/娜塔利威尔斯/布列塔尼·格雷/凯伦·霍尔尼斯/保罗·贝克/Scott Fowler/Bill Hartung/Darren Lee/Blake McGrath/罗伯特·蒙塔诺/肖恩·帕默尔,美国/德国,英语/匈牙利语,两个女人，有着相似的经历，甚至是相似的心计，展开了为求成名的争夺战。 维尔玛（凯瑟琳•泽塔-琼斯 Catherine Zeta-Jones饰）是一个夜总会舞女，名气不大。因为一怒之下枪杀了出轨丈夫而被关进大牢。比利（理查德•基尔Richard Gere饰）是当地一个靠打谋杀案官司而提升知名度的律师，他受理了这桩案件，心中有着自己的打算。他借助媒体炒作维尔玛的案子，一方面维尔玛瞬间成为红人，而他自己也声名大振。 然而洛克茜（芮妮·齐薇格 Renée Zellweger 饰）的案件却让比利转移了注意力。梦想成为歌星的洛克茜也是因为怒杀男友而身负罪名，比利决定要把她包装成楚楚可怜的受害者，令媒体更疯狂的大肆报道。 维尔玛觉察形势不妙，为了成名，她跟洛克茜之间的斗法不可避免的开始了。
射雕英雄传之东成西就射鵰英雄傳之東成西就,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg,8.7,675415,喜剧/奇幻/武侠/古装,1993-02-05(中国香港),113分钟(香港),刘镇伟,梁朝伟/林青霞/张国荣/叶玉卿/张学友/王祖贤/张曼玉/梁家辉/刘嘉玲/钟镇涛/鲍起静,中国香港,粤语,金轮国王妃（叶玉卿 饰）与表哥欧阳锋（梁朝伟 饰）有染，为霸占江山，他们毒死了国王，但没找到传国玉玺。得知玉玺在前往九宫山找寻其师父求助的三公主（林青霞 饰）手里后，欧阳锋企图抢到手但没成功。糊涂国师（张曼玉 饰）在淫威下屈服，查出三公主的具体下落，欧阳锋乘火箭金靴追赶 ，却误脱落一只插死刚出关的王重阳（钟镇涛 饰），奄奄一息的王重阳恳求适逢路过的三公主找到其师弟周伯通（刘嘉玲 饰）代为报仇。逃到九宫山的三公主邀得师弟黄药师（张国荣 饰）与师妹（王祖贤 饰）相助，再加上前来寻找表妹的洪七（张学友 饰）、找到真心人才能成仙的段智兴（梁家辉 饰），一场与欧阳锋的生死恶战蓄势待发……
神偷奶爸DespicableMe,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,8.7,994879,喜剧/动画/冒险,2010-06-20(莫斯科电影节)/2010-07-09(美国),95分钟,皮埃尔·柯芬/克里斯·雷纳德,史蒂夫·卡瑞尔/杰森·席格尔/拉塞尔·布兰德/朱莉·安德鲁斯/威尔·阿奈特/克里斯汀·韦格/米兰达·卡斯格拉夫/达纳·盖尔/艾尔西·费舍尔/皮埃尔·柯芬/克里斯·雷纳德/杰梅奈·克莱门特/杰克·麦克布瑞尔/丹尼·麦克布莱德/敏迪·卡灵/罗布·许贝尔/肯·道里欧/郑肯,美国/法国,英语,超级坏蛋格鲁（史蒂夫·卡瑞尔 Steve Carell 配音）在听说埃及金字塔被盗的新闻后不满市面上新贼辈出，决定在纳法利欧博士（拉塞尔·布兰德 Russell Brand 配音）的帮助下建造火箭升空盗取月亮。在向坏蛋银行贷款的过程中，格鲁盗取的收缩射线枪被新贼维克托（杰森·席格尔 Jason Segel 配音）抢走。为了夺回收缩射线枪，格鲁决定领养三位孤儿——玛戈（米兰达·卡斯格拉夫 Miranda Cosgrove 配音）、伊迪丝（达娜·盖伊 Dana Gaier 配音）和阿格蕾丝（埃尔希·费舍 Elsie Fisher 配音），利用她们进入维克托的城堡兜售饼干的机会实施偷盗，计划成功后再偷偷处理掉三个小孩。然而在平凡的日常相处中，格鲁却发现自己越来越离不开这三个小鬼，但这样的感情用事却将严重影响周密的盗月计划……
疯狂原始人TheCroods,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,8.7,878180,喜剧/动画/冒险,2013-04-20(中国大陆)/2013-02-15(柏林电影节)/2013-03-22(美国),98分钟,柯克·德·米科/克里斯·桑德斯,尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克萝丽丝·利奇曼/克拉克·杜克/克里斯·桑德斯/兰迪·汤姆,美国,英语,原始人咕噜一家六口在老爸Grug（尼古拉斯·凯奇 Nicolas Cage 配音）的庇护下生活。每天抢夺鸵鸟蛋为食，躲避野兽的追击，每晚听老爸叙述同一个故事，在山洞里过着一成不变的生活。大女儿Eep（艾玛·斯通 Emma Stone 配音）是一个和老爸性格截然相反的充满好奇心的女孩，她不满足一辈子留在这个小山洞里，一心想要追逐山洞外面的新奇世界。 没想到世界末日突然降临，山洞被毁，一家人被迫离开家园，展开一场全新的旅程。离开了居住了“一辈子”的山洞，展现在他们眼前的是一个崭新绚丽却又充满危险的新世界，到处都是食人的花草和叫不出名字的奇异鸟兽，一家人遇到了全所未有的危机。在旅途中，他们还遇到了游牧部落族人Guy（瑞恩·雷诺兹 Ryan Reynolds 配音），他有着超凡的创造力和革新思想，帮助咕噜一家躲过了重重困难，途中他还发明了很多“高科技”产品，...
无敌破坏王Wreck-ItRalph,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,8.7,575044,喜剧/动画/奇幻/冒险,2012-11-06(中国大陆)/2012-11-02(美国),101分钟,瑞奇·摩尔,约翰·C·赖利/萨拉·西尔弗曼/杰克·麦克布瑞尔/简·林奇/艾伦·图代克/敏迪·卡灵/乔·洛·特鲁格里奥/艾德·奥尼尔/丹尼斯·海斯伯特/伊迪·麦克勒格/雷蒙德·S·佩尔西/杰斯·哈梅尔/瑞秋·哈里斯/斯盖拉·阿斯丁/亚当·卡罗拉/霍拉提奥·桑斯/莫里斯·拉马奇/斯戴芬妮·斯考特/约翰·迪·马吉欧/瑞奇·摩尔/凯蒂·洛斯/贾米·埃曼/乔西·特立尼达/辛贝·沃克/塔克·吉莫尔/布兰登·斯考特/蒂姆·梅尔滕斯/凯文·迪特斯/杰洛·里佛斯/马丁·贾维斯/布莱恩·克辛格/罗杰·克莱格·史密斯/菲尔·约翰斯顿/鲁本·兰登/凯尔·赫伯特/洁米·斯贝勒·罗伯茨/尼克·格里姆肖,美国,英语,无敌破坏王（约翰·C·赖利 John C. Reilly 配音）生活在一个80年代出品的低精度游戏中。他的设定身份是一个反派，每天的生活就是在游戏《快手阿修》中大搞破坏，其后由玩家操作的英雄人物快手阿修（杰克·麦克布瑞尔 Jack McBrayer 配音） 会及时赶到进行修补，赢得奖牌，包揽一切荣耀。身为反派，破坏王厌倦了自己的生活，眼看阿修被胜利者的光环围绕，自己却日复一日在无趣中过活，他终于决定改变。单纯的他以为只要自己也能得到一枚奖牌，就可以摆脱反派的身份，于是某日在游戏厅歇业后，破坏王偷偷离开了自己的游戏，前去闯荡其他电子游戏的世界。 在途中，破坏王结识了来自《英雄使命》的冷酷队长（简·林奇 Jane Lynch 配音）和来自90年代糖果赛车游戏《甜蜜冲刺》的小女孩云妮（萨拉·丝沃曼 Sarah Silverman 配音）。后者梦想着能上场比...
奇爱博士Dr.Strangeloveor:HowILearnedtoStopWorryingandLovetheBomb,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p835946292.jpg,8.9,107769,剧情/喜剧/战争,1964-01-29(美国),95分钟,斯坦利·库布里克,彼得·塞勒斯/乔治·C·斯科特/斯特林·海登/基南·怀恩/斯利姆·佩金斯/彼得·布尔/詹姆斯·厄尔·琼斯/特蕾西·里德/格伦·贝克/谢恩·里默/戈登·坦纳/Jack Creley/Frank Berry/Robert O'Neil/Roy Stephens/Hal Galili/Paul Tamarin/Laurence Herder,美国/英国,英语/俄语,美国空军将领杰克•瑞（斯特林·海登 Sterling Hayden 饰）怀疑苏共的“腐朽思想”正在毒害“正直善良”的美国人民，他于是下令携带核弹头的飞行部队前往苏联，对敌人进行毁灭性的核打击。苏联方面得知此事，立即致电美国总统墨尔金•马夫雷（彼得·塞勒斯 Peter Sellers 饰），并威胁如若领土遭到攻击，苏联将不惜一切代价按下“世界末日装置”。该装置的威力足以摧毁地球上所有的生命。 一场有关全人类乃至整个地球命运的战争就这样悄然且荒诞地拉开了序幕…… 影片根据彼得•乔治1958年的小说《红色警戒（Red Alert）》改编而成，与《2001漫游太空》、《发条橙》并称为“未来三部曲”。
寻子遇仙记TheKid,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2506524685.jpg,9.2,47660,剧情/喜剧/家庭,1921-02-06(美国),68分钟,查理·卓别林,查理·卓别林/卡尔米勒/艾德娜·珀薇安丝/杰基·库根/艾伯特·奥斯汀/Nellie Bly Baker/亨利·伯格曼/Edward Biby/B.F. Blinn/Kitty Bradbury/弗兰克·坎皮沃/Bliss Chevalier/Robert Dunbar/丽塔·格雷/Jules Hanft/Kathleen Kay/Raymond Lee/Clyde McAtee/Lew Parker/艾斯特·罗尔斯顿/Granville Redmond/查尔斯·赖斯纳/Edgar Sherrod/Arthur Thalasso/S.D. Wilcox/汤姆·威尔森,美国,英语,影片讲述玻璃匠夏尔洛（查理·卓别林 Charles Chaplin饰）和弃婴（杰基·考甘 Jackie Coogan饰）之间一段笑中有泪的感人故事。夏尔洛在垃圾箱旁发现了一个弃婴并收养了他。等到孩子长到四五岁的时候，就已经非常懂事。两父子合演双簧，儿子打碎玻璃，父亲就上 前更换玻璃从而养家糊口。夏尔洛带着“儿子”躲避警察的追捕，以免他被送入孤儿院。可孩子的母亲后来有了钱，悬赏找回孩子。有人为钱把孩子从夏尔洛身边偷走，他四处追查也没有找到。疲惫的夏尔洛在梦中来到了天堂。一觉醒来的他，居然发现“儿子”跟他的母亲就站在自己的眼前…… 本片在1978年巴西《标题》杂志评选的100部最佳影片中名列67。
坠入TheFall,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2493007551.jpg,8.8,136721,剧情/喜剧/奇幻/冒险,2006-09-09(多伦多电影节)/2008-05-30(美国),117分钟,塔西姆·辛,凯婷卡·安塔鲁/贾斯蒂恩·瓦戴尔/李·佩斯/Kim Uylenbroek/Aiden Lithgow/肖恩·吉尔德/Ronald France/Andrew Roussouw/Michael Huff/格兰特·斯旺比/埃米尔奥斯迪那/罗宾·史密斯/Jeetu Verma/里奥·比尔/Marcus Wesley,美国/南非/印度,英语/罗马尼亚语/拉丁语,电影特技演员罗伊•沃克（Lee Pace 饰）在拍摄一组骑马从桥上一跃而下的镜头时严重受伤，导致下半身瘫痪失去知觉。此时的他极度绝望，万念俱灰，只想一死了之。正当罗伊沮丧之际，因摔断胳膊住进医院的5岁小女孩亚历珊卓（Catinca Untaru 饰）闯入了罗伊的世界。 这两个年龄悬殊的病友就此交上了朋友，亚历珊卓每天来罗伊的病房报到，只为听朋友讲那个玄幻神奇的故事。而罗伊用这个顺口编出的故事吸引小女孩，却想完成借机完成他的自杀计划…… 本片荣获2007年柏林影展玻璃熊特别表扬-最佳影片奖、Sitges - Catalonian International Film Festival的最佳影片奖、2008年奥斯汀影评人协会奖最佳剧本。
疯狂的石头,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,8.6,871666,喜剧/犯罪,2006-06-30(中国大陆)/2006-08-10(中国香港),106分钟(香港),宁浩,郭涛/刘桦/连晋/黄渤/徐峥/岳小军/罗兰/王迅,中国大陆/中国香港,汉语普通话/重庆话,重庆一间工艺品厂已经濒临倒闭，却不料在拆倒旧厂房的时候，发现了厕所里的一件宝物——一块价值连城的翡翠。厂里决定用这块翡翠举办一个展览，赚些钱发拖欠了几个月的工人工资。期间由工艺品厂保卫科长包世宏（郭涛 饰）负责看守这件宝物。但是，国际大盗麦克与本地一帮小偷却让包世宏一筹莫展，他们各施其技接近翡翠，展览馆开始了一场明争暗斗的较量。黑色幽默也开始幕幕上演。翡翠的价值几何？最后谁是胜出者？事情远没有表面那么简单……
谁先爱上他的誰先愛上他的,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2579685016.jpg,8.6,416105,剧情/喜剧/同性,2018-11-02(中国台湾)/2018-04-22(乌迪内远东电影节),100分钟,徐誉庭/许智彦,邱泽/谢盈萱/陈如山/黄圣球/周洺甫/梁正群/杨丽音/安哲/高隽雅/吴定谦/刘黛莹/钟欣凌/万芳/高爱伦,中国台湾,汉语普通话,宋正远（陈如山 饰）因为癌症去世了，留下了老婆刘三莲（谢盈萱 饰）独自拉扯着儿子宋呈希（黄圣球 饰）。让刘三莲无法原谅的是，宋正远人生的最后一段旅程是和一个名叫高裕杰（邱泽 饰）的男人一起度过的。高裕杰是宋正远从前的恋人，只不过最终宋正远选择了结婚生子去过正常人的生活，而高裕杰则对他一直恋恋不忘。 更让刘三莲无法忍受的是，宋正远竟然将自己的保险金全部留给了高裕杰，不仅如此，自己叛逆的儿子竟然也选择了抛弃自己，赖在高裕杰的家里不肯走，这个男人到底是有什么魔力？！在宋呈希的眼中，高裕杰是一个吊儿郎当的男人，他沉默着凝视着这个男人，仿佛想要从他的身上看到另一个熟悉的身影。
冰川时代IceAge,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,8.6,649441,喜剧/动画/冒险,2002-03-15(美国),81分钟,卡洛斯·沙尔丹哈/克里斯·韦奇,雷·罗马诺/约翰·雷吉扎莫/丹尼斯·利瑞/杰克·布莱克,美国,英语/克罗地亚语,冰河时期降至，动物们都急着迁徙到温暖的地方及储存食物。长毛象曼弗瑞德、树獭希德、剑齿虎迪亚戈为了帮助一个人类的婴儿回到父母身边，因而也掉了动物们迁徙的队伍。三只性格各异的动物，觉得集合力量帮助婴儿。一路上，善良的曼弗瑞德总觉得迪亚戈心怀鬼胎，想吃掉婴儿，互相猜疑。他们一起经历了无数艰难险阻，终于能够真诚相对。 当剑齿虎迪亚戈的同伴知道它身边正有一个婴儿，饥寒交迫的它们就想迪亚戈把婴儿交给它们当食物，迪亚戈已对可爱的小婴儿产生了感情，无法下手，而迪亚戈该如何选择呢？小婴儿又能否安全回到家中？
白日梦想家TheSecretLifeofWalterMitty,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg,8.6,560205,剧情/喜剧/冒险,2013-12-25(美国),114分钟,本·斯蒂勒,本·斯蒂勒/克里斯汀·韦格/亚当·斯科特/西恩·潘/凯瑟琳·哈恩/泰伦斯·伯尼·海恩斯/保罗·菲兹杰拉德/乔恩·戴利/乔伊·斯洛特尼克/格蕾丝·雷克斯/阿莱克斯·阿方格/阿曼达·诺顿/阿德里安·马丁斯/雪莉·麦克雷恩/艾米·斯蒂勒/斯图尔特·康菲尔德/奥拉维尔·达里·奥拉夫松/索哈德吕尔·西格罗森/贡纳·黑尔加松/卡伊·伦诺克斯/柯南·奥布莱恩/安迪·里克特/安东尼·德西奥/帕顿·奥斯瓦尔特/理查德·德多梅尼科/马特·莱文/格雷格·西佩斯/马米·科西科/马修·古利/罗丝玛丽·霍华德/伊兰·克里斯费尔德/安娜·库奇马,美国/英国,英语/西班牙语/冰岛语,沃特.密提（本·斯蒂勒 Ben Stiller 饰）是一名在《生活》杂志工作了16年的胶片洗印经理，他性格内向，甚至无法跟心仪的同事谢莉尔（克里斯汀·韦格 Kristen Wiig 饰）开口搭讪，面对生活他像个旁观者，时常“放空”做白日英雄梦。直到有一天公司被并购，杂志需要做最后一期的封面，而封面成功与否的关键是找到狂野摄影师尚恩（西恩·潘 Sean Penn）的一卷胶片，沃特终于开口搭讪谢莉尔，并在她和母亲（雪莉·麦克雷恩 Shirley MacLaine 饰）的鼓励下踏上真正的冒险之旅，冰原、大海、喜马拉雅山……沃特的白日梦远不及现实壮丽。
我能说아이캔스피크,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2498433749.jpg,8.8,108560,剧情/喜剧,2017-09-21(韩国),119分钟,金炫锡,罗文姬/李帝勋/廉惠兰/朴哲民/李相喜/李知勋/郑妍周/金素辰,韩国,韩语/英语,热血老奶奶罗玉粉（罗文姬饰）性格耿直，爱打抱不平，多年来专注于举报社区里发生的不法行为的，被周围的人叫做“鬼怪奶奶”。她的“对手”是信访办新来的基层公务员朴民载（李帝勋饰）。二人吵吵闹闹未分胜负。某天，罗奶奶忽然“死皮赖脸”要求朴民载成为自己的英语老师。因为她有一个弟弟生长在美国，一句韩语也不懂，罗奶奶只有学会了英语，才能跟他交流。在学习过程中，朴民载与罗奶奶的感情变得越来越融洽。但是，民载得知罗奶奶的弟弟其实根本不想和她通话。在一次冲突中，他不小心对奶奶说出了实情。然而，这时候，罗奶奶有了更迫切的学习英语的理由，她要到美国，向全世界讲述自己做慰安妇的经历，迫使日本政府为践踏人伦的行为道歉。
热情如火SomeLikeItHot,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p860250155.jpg,8.9,73803,喜剧,1959-03-29,120分钟,比利·怀尔德,玛丽莲·梦露/托尼·柯蒂斯/杰克·莱蒙/乔治·拉夫特/帕特·奥布莱恩/乔·E·布朗/内赫米亚·佩尔索夫/琼·肖丽/乔治·E·斯通/戴夫·巴里/迈克·马祖尔凯/哈里·威尔逊/贝弗利·威尔斯/芭芭拉·德鲁/小爱德华·G·罗宾逊,美国,英语,1930年代，动荡的芝加哥时常被强盗集团骚扰。乔（托尼•柯蒂斯）和杰利（杰克•莱蒙）本是乐团成员，两人因偶然目睹盗匪史巴克的手下在车库内射杀告密者而被穷追不舍。走投无路之下，他们男扮女装加入一女性乐团，并随该团来到迈阿密。 该团中有位名叫秀珈（玛丽莲•梦露）的异常美丽性感女郎，乔晓得她一心想钓有钱人时，便化身石油王的公子企图得到她的芳心；另一面，杰利也对秀珈情有独钟，可是他却得到一位不知他是男儿身的富翁的不断纠缠，笑话迭生。不久，乔和杰利又遇史巴克一伙，只得再次逃亡，场面更加逗笑。
美食总动员Ratatouille,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p465604496.jpg,8.6,402235,喜剧/动画/奇幻,2007-10-19(中国大陆)/2007-06-29(美国),111分钟,布拉德·伯德/简·皮克瓦,帕顿·奥斯瓦尔特/伊安·霍姆/卢·罗曼诺/布莱恩·丹内利/彼得·孙/彼得·奥图尔/布拉德·加内特/詹妮安·加罗法洛/威尔·阿奈特/詹姆斯·瑞马尔/约翰·拉森贝格/泰迪·牛顿/托尼·弗希勒/杰克·斯坦菲尔德/布拉德·伯德/林赛·柯林斯/布拉德·刘易斯/洛丽·理查德森/迈克·吉亚奇诺,美国,英语/法语,小老鼠雷米在嗅觉方面有着无与伦比的天赋，不想过与垃圾堆为伴的生活，心怀成为五星大厨的梦想。 一个偶然的机会，他认识了古斯特餐厅的学徒林奎尼，这个倒霉的学徒生性害羞，在厨艺上更是没有什么天赋，并且遭到餐厅大厨的排挤，即将被解雇。这一人一鼠结成了奇特的联盟：雷米奉献自己极富创造力的大脑。操作林奎尼前台“表演”。 在雷米的帮助下，林奎尼不但成为新的“天才厨师”，获得了美女同事的爱情，还挫败了大厨的阴谋，成为古斯特餐厅的合法继承人。突如起来的成功让林奎尼有些不知所措，想摆脱自己的傀儡身份，把雷米赶出了厨房。 古斯特餐厅的成功，引起了苛刻的美食评论家科隆的注意，准备一尝林奎尼的手艺，重新为餐厅评定星级；而不甘失败的前大厨，蠢蠢欲动，想要找到林奎尼一夜成名的秘密。失去了雷米，林奎尼该如何面对这些问题……
玩具总动员ToyStory,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565956404.jpg,8.6,396262,喜剧/动画/家庭,1995-11-22(美国),81分钟,约翰·拉塞特,汤姆·汉克斯/蒂姆·艾伦/唐·里克斯/吉姆·法尼/华莱士·肖恩/约翰·拉森贝格/安妮·波茨/约翰·莫里斯/伊瑞克·冯·迪滕/劳丽·梅特卡夫/李·厄米/佩恩·吉列特/杰克·安杰尔/黛比·德里贝里/比尔·法玛尔/雪莉·琳恩/斯科特·麦克菲/米凯·麦高万/杰夫·皮金/菲尔·普洛克特/扬·拉布森/乔·兰福特/安德鲁·斯坦顿/内森·连恩/约翰·拉塞特/卢卡·佩洛斯/埃林·萨贝拉,美国,英语,小主人家境富裕，拥有一屋的玩具。其中他最爱的是牛仔玩偶胡迪，胡迪因此成为众玩具的“老大”。当小主人出门在外时，一屋的玩具自成世界，过着自己的生活。一天，小主人带回了一个新的玩意：太空战警巴斯光年。巴斯光年长相新奇，功能先进，令小主人爱不释手，威胁到了胡迪的地位。胡迪千方百计要赶走巴斯，一不小心二人一起掉出了房间窗口外，邻居的恶狗在狂吠，邻居的小孩是一个玩具虐待狂，胡迪巴斯能不能化敌为友，消灾解难？
麦兜故事麥兜故事,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804938713.jpg,8.6,189470,剧情/喜剧/动画,2001-12-15,Japan:75分钟,袁建滔,李晋纬/林海峰/吴君如/黄秋生/Buxx Banner,中国香港,粤语,麦兜，一个长得不帅，头脑平平的小朋友。和妈妈麦太太，在香港一个叫大角咀的地方过着并不富裕却很快乐的生活。从麦兜带着妈妈的期望来到世界那一刻开始，他的脑海中一直飘满七彩幻想的泡泡。那个蓝天白云，椰林树影，水清沙白的童年的马尔代夫，那充满诱惑的圣诞火鸡的浓香，还有那个关于“抢包山”的奥运金牌的梦想，让麦兜平凡着他的平凡，却幸福着他的幸福。麦兜，和春田花花幼儿园的小朋友们一起，陪着我们，简单的在爱的呵护下慢慢长大。
